"Code","taskID","taskSeqNum","patterns","correctness","MUC1","MUC2","MUC3","MUC4","MUC5","ncovered"
"AXYKT","B",6,"Y",1,1,1,0,1,1,4
"AXYKT","C",3,"N",1,1,1,0,0,0,2
"AXYKT","D",4,"N",2,1,1,1,0,0,3
"AXYKT","E",5,"Y",1,1,1,1,0,1,4
"AXYKT","F",2,"N",1,1,1,1,1,1,5
"AXYKT","G",7,"Y",1,1,1,1,0,1,4
"BEDXN","B",4,"N",1,1,1,1,0,1,4
"BEDXN","C",6,"Y",2,1,0,1,0,0,2
"BEDXN","D",7,"Y",0,1,1,0,0,1,3
"BEDXN","E",2,"N",1,1,1,1,1,0,4
"BEDXN","F",5,"Y",2,1,1,1,1,0,4
"BEDXN","G",3,"N",0,0,0,0,0,0,0
"CFKYC","B",2,"N",2,1,1,0,0,1,3
"CFKYC","C",5,"Y",1,0,0,0,0,0,0
"CFKYC","D",6,"Y",2,1,0,1,1,1,4
"CFKYC","E",4,"N",1,1,1,1,0,0,3
"CFKYC","F",3,"N",1,1,0,0,0,0,1
"CFKYC","G",7,"Y",2,1,1,0,0,1,3
"CNXLT","B",5,"Y",2,1,1,1,0,1,4
"CNXLT","C",7,"Y",1,0,0,0,1,1,2
"CNXLT","D",2,"N",1,1,0,1,0,0,2
"CNXLT","E",3,"N",1,1,1,0,0,0,2
"CNXLT","F",6,"Y",1,1,1,1,0,0,3
"CNXLT","G",4,"N",0,0,0,0,0,0,0
"DAWMU","B",6,"Y",1,1,1,1,1,1,5
"DAWMU","C",3,"N",0,0,0,0,0,0,0
"DAWMU","D",4,"N",2,0,0,1,0,0,1
"DAWMU","E",2,"N",1,1,1,0,0,0,2
"DAWMU","F",7,"Y",2,1,1,1,1,1,5
"DAWMU","G",5,"Y",1,1,0,0,0,0,1
"DPAPR","B",3,"N",2,1,1,1,0,0,3
"DPAPR","C",4,"N",1,0,0,1,0,0,1
"DPAPR","D",6,"Y",1,0,0,1,0,0,1
"DPAPR","E",5,"Y",2,1,1,1,1,0,4
"DPAPR","F",7,"Y",1,0,0,0,0,0,0
"DPAPR","G",2,"N",2,1,1,1,1,1,5
"DSSTT","B",7,"Y",1,1,1,1,1,0,4
"DSSTT","C",3,"N",0,0,0,0,0,0,0
"DSSTT","D",5,"Y",2,1,1,0,1,1,4
"DSSTT","E",4,"N",1,1,1,1,1,0,4
"DSSTT","F",2,"N",1,1,1,1,0,1,4
"DSSTT","G",6,"Y",1,1,1,0,1,0,3
"DYDEX","B",7,"Y",2,1,1,0,1,1,4
"DYDEX","C",2,"N",0,0,0,0,0,0,0
"DYDEX","D",4,"N",1,0,1,0,0,0,1
"DYDEX","E",5,"Y",2,1,1,0,1,0,3
"DYDEX","F",3,"N",0,0,0,0,0,0,0
"DYDEX","G",6,"Y",2,1,0,0,0,0,1
"EBLBV","B",6,"Y",2,1,1,1,0,0,3
"EBLBV","C",5,"Y",1,1,0,0,0,0,1
"EBLBV","D",2,"N",0,0,0,0,0,0,0
"EBLBV","E",3,"N",1,1,1,0,0,0,2
"EBLBV","F",4,"N",1,1,1,1,0,0,3
"EBLBV","G",7,"Y",2,1,1,1,0,0,3
"FJVQW","B",3,"N",1,1,1,1,0,0,3
"FJVQW","C",6,"Y",1,0,0,0,0,0,0
"FJVQW","D",7,"Y",0,0,0,0,1,0,1
"FJVQW","E",5,"Y",2,1,1,0,0,0,2
"FJVQW","F",4,"N",1,1,0,1,0,0,2
"FJVQW","G",2,"N",1,1,1,1,0,0,3
"GTRUZ","B",7,"Y",1,1,1,0,1,1,4
"GTRUZ","C",6,"Y",0,0,1,0,0,0,1
"GTRUZ","D",3,"N",1,0,0,0,0,0,0
"GTRUZ","E",5,"Y",1,1,1,1,1,0,4
"GTRUZ","F",2,"N",2,1,1,1,0,1,4
"GTRUZ","G",4,"N",1,1,1,0,0,0,2
"HALDF","B",5,"Y",2,0,1,1,1,1,4
"HALDF","C",3,"N",0,0,0,1,0,0,1
"HALDF","D",2,"N",2,1,0,1,1,0,3
"HALDF","E",6,"Y",1,1,1,1,0,0,3
"HALDF","F",4,"N",1,1,1,1,0,0,3
"HALDF","G",7,"Y",0,1,1,1,0,1,4
"HPBCC","B",5,"Y",2,1,1,1,0,0,3
"HPBCC","C",3,"N",0,0,0,0,0,0,0
"HPBCC","D",7,"Y",1,1,0,0,0,0,1
"HPBCC","E",4,"N",1,1,1,1,1,0,4
"HPBCC","F",2,"N",1,0,0,0,1,0,1
"HPBCC","G",6,"Y",0,1,1,0,0,0,2
"HZXGB","B",4,"N",0,1,0,0,-1,0,1
"HZXGB","C",2,"N",0,0,0,0,0,0,0
"HZXGB","D",7,"Y",2,1,1,1,1,0,4
"HZXGB","E",5,"Y",1,1,1,1,0,0,3
"HZXGB","F",6,"Y",2,1,1,1,1,0,4
"HZXGB","G",3,"N",1,1,1,0,0,0,2
"LEERJ","B",4,"N",2,1,1,1,0,0,3
"LEERJ","C",7,"Y",1,1,1,1,0,0,3
"LEERJ","D",5,"Y",2,1,0,1,1,1,4
"LEERJ","E",6,"Y",2,1,1,0,1,0,3
"LEERJ","F",3,"N",1,0,0,0,1,0,1
"LEERJ","G",2,"N",1,1,1,0,0,0,2
"MPGND","B",6,"Y",1,1,1,0,0,0,2
"MPGND","C",7,"Y",1,1,0,0,0,0,1
"MPGND","D",5,"Y",2,0,1,0,0,1,2
"MPGND","E",2,"N",2,1,1,1,0,0,3
"MPGND","F",4,"N",0,0,0,1,0,0,1
"MPGND","G",3,"N",1,1,1,1,0,1,4
"MZNGT","B",3,"N",1,1,1,0,0,1,3
"MZNGT","C",5,"Y",2,1,1,0,0,0,2
"MZNGT","D",7,"Y",2,0,0,0,0,1,1
"MZNGT","E",2,"N",1,1,1,1,1,0,4
"MZNGT","F",6,"Y",0,0,0,0,0,0,0
"MZNGT","G",4,"N",1,1,1,0,0,0,2
"NNTVX","B",7,"Y",1,1,1,1,0,1,4
"NNTVX","C",4,"N",0,0,0,1,0,0,1
"NNTVX","D",3,"N",2,0,0,1,1,0,2
"NNTVX","E",2,"N",2,1,1,1,1,0,4
"NNTVX","F",5,"Y",1,0,0,0,1,0,1
"NNTVX","G",6,"Y",2,1,1,1,1,0,4
"QZMCB","B",2,"N",1,1,1,0,0,0,2
"QZMCB","C",6,"Y",2,1,1,1,0,0,3
"QZMCB","D",5,"Y",2,1,1,1,0,0,3
"QZMCB","E",3,"N",2,1,1,1,0,0,3
"QZMCB","F",4,"N",1,1,1,1,1,0,4
"QZMCB","G",7,"Y",2,1,1,1,1,1,5
"RAYZA","B",6,"Y",1,1,1,1,0,0,3
"RAYZA","C",3,"N",1,1,0,0,1,0,2
"RAYZA","D",7,"Y",1,0,0,0,1,0,1
"RAYZA","E",5,"Y",1,0,0,0,1,0,1
"RAYZA","F",4,"N",1,0,0,0,0,0,0
"RAYZA","G",2,"N",1,1,1,0,0,0,2
"RJGSN","B",3,"N",1,1,1,1,0,0,3
"RJGSN","C",6,"Y",1,0,0,0,1,1,2
"RJGSN","D",4,"N",1,0,0,0,1,0,1
"RJGSN","E",5,"Y",2,1,1,1,1,0,4
"RJGSN","F",7,"Y",1,0,0,0,1,0,1
"RJGSN","G",2,"N",2,1,1,1,0,1,4
"RTULK","B",7,"Y",2,1,1,1,1,1,5
"RTULK","C",2,"N",0,0,0,1,0,0,1
"RTULK","D",4,"N",2,1,1,1,1,1,5
"RTULK","E",5,"Y",2,1,1,1,1,0,4
"RTULK","F",3,"N",1,0,0,0,0,0,0
"RTULK","G",6,"Y",2,1,1,1,0,1,4
"SACES","B",7,"Y",2,1,1,1,1,0,4
"SACES","C",5,"Y",1,0,1,0,0,0,1
"SACES","D",2,"N",1,0,0,1,1,0,2
"SACES","E",6,"Y",2,1,1,1,0,0,3
"SACES","F",4,"N",1,1,1,1,0,0,3
"SACES","G",3,"N",1,1,1,1,0,0,3
"TABBY","B",7,"Y",1,1,1,1,1,0,4
"TABBY","C",2,"N",0,0,0,1,0,0,1
"TABBY","D",4,"N",0,1,0,1,0,0,2
"TABBY","E",3,"N",2,1,1,0,0,1,3
"TABBY","F",5,"Y",1,1,1,1,0,0,3
"TABBY","G",6,"Y",2,1,1,1,0,1,4
"UTFZK","B",6,"Y",1,1,1,1,0,0,3
"UTFZK","C",2,"N",0,0,0,0,0,0,0
"UTFZK","D",5,"Y",1,1,1,0,0,0,2
"UTFZK","E",7,"Y",1,1,1,0,0,0,2
"UTFZK","F",3,"N",0,0,0,0,0,0,0
"UTFZK","G",4,"N",2,1,1,1,1,1,5
"VLFGF","B",6,"Y",1,1,1,0,0,0,2
"VLFGF","C",7,"Y",0,0,0,0,0,0,0
"VLFGF","D",4,"N",2,1,1,1,1,1,5
"VLFGF","E",5,"Y",2,1,1,1,0,0,3
"VLFGF","F",2,"N",1,1,1,1,0,0,3
"VLFGF","G",3,"N",0,0,1,0,0,0,1
"VPGHW","B",4,"N",2,1,1,1,1,1,5
"VPGHW","C",3,"N",0,0,1,0,0,0,1
"VPGHW","D",5,"Y",2,0,0,1,1,1,3
"VPGHW","E",2,"N",1,1,1,1,1,0,4
"VPGHW","F",7,"Y",1,1,1,1,0,0,3
"VPGHW","G",6,"Y",1,1,1,1,0,1,4
"XLYEN","B",3,"N",1,1,1,1,0,1,4
"XLYEN","C",5,"Y",1,0,0,0,0,0,0
"XLYEN","D",2,"N",0,0,0,-1,1,0,1
"XLYEN","E",4,"N",1,1,1,1,0,0,3
"XLYEN","F",6,"Y",1,0,0,0,0,0,0
"XLYEN","G",7,"Y",2,1,1,1,1,1,5
"YFCBB","B",2,"N",1,1,1,0,1,1,4
"YFCBB","C",4,"N",2,1,0,1,1,0,3
"YFCBB","D",3,"N",1,0,0,0,0,0,0
"YFCBB","E",6,"Y",2,1,1,1,1,0,4
"YFCBB","F",5,"Y",2,1,1,1,1,1,5
"YFCBB","G",7,"Y",2,1,1,1,0,1,4
"YGWQB","B",6,"Y",1,1,1,1,0,0,3
"YGWQB","C",7,"Y",1,0,0,0,0,0,0
"YGWQB","D",4,"N",1,0,0,1,1,0,2
"YGWQB","E",3,"N",1,1,1,0,1,0,3
"YGWQB","F",5,"Y",1,1,1,1,0,0,3
"YGWQB","G",2,"N",2,1,1,1,0,1,4
"ZNHAH","B",3,"N",2,1,1,1,0,0,3
"ZNHAH","C",2,"N",0,0,0,0,0,0,0
"ZNHAH","D",6,"Y",1,0,0,0,0,0,0
"ZNHAH","E",4,"N",1,0,0,0,0,0,0
"ZNHAH","F",5,"Y",1,1,1,0,0,1,3
"ZNHAH","G",7,"Y",1,0,0,0,0,0,0
"ZQNGT","B",2,"N",1,1,1,0,0,0,2
"ZQNGT","C",7,"Y",1,1,0,1,0,0,2
"ZQNGT","D",4,"N",1,0,0,0,1,0,1
"ZQNGT","E",6,"Y",2,1,1,1,0,0,3
"ZQNGT","F",3,"N",2,1,1,1,0,0,3
"ZQNGT","G",5,"Y",2,1,1,0,0,0,2
